Max-Real	Min-Real	Max-Prev-1dia	Min-Prev-1dia	Max-Prev-3dias	Min-Prev-3dias	Max-Prev-5dias	Min-Prev-5dias
30	1	28	13	30	18	28	16
25	-5	29	13	26	17	27	16
31	-5	32	14	30	13	28	20
33	23	29	13	32	19	30	22
29	9	30	19	35	26	26	15
36	14	35	23	36	24	35	24
36	12	35	21	38	25	34	23
37	18	32	18	35	22	34	22
32	26	27	17	33	18	33	21
28	13	25	16	34	21	35	24
43	7	41	22	37	26	38	26
37	10	30	7	37	20	37	28
36	6	33	20	31	14	36	16
37	10	40	27	44	35	36	22
34	29	34	24	38	29	45	26
41	33	38	24	39	25	36	22
40	36	33	15	37	21	33	21
33	18	35	28	37	20	34	25
35	32	40	25	39	32	36	21
33	24	27	15	28	20	33	22
31	19	27	10	30	16	31	18
33	1	30	15	31	18	30	15
35	0	37	19	40	23	38	20
38	6	38	18	40	24	39	22
37	26	29	14	31	18	33	17
31	5	36	23	32	24	36	23
38	20	34	16	36	24	37	21
35	24	30	14	36	18	35	24
33	9	36	28	39	25	40	26
39	26	41	31	42	35	36	29
46	32	42	26	42	30	40	18

