Sist-Usinagem	Medida
1	18,7997
1	20,5035
1	18,6214
1	19,9192
1	21,117
1	20,8353
1	17,527
1	17,078
1	17,6197
1	21,4255
1	18,7545
1	19,2026
1	18,4187
1	20,7641
1	21,0553
1	17,5905
1	18,7561
1	18,9772
1	20,3084
1	18,8988
1	19,1688
1	19,2898
1	22,059
1	18,5854
1	17,8896
2	21,1609
2	26,1371
2	21,4737
2	30,9934
2	22,8421
2	24,4133
2	20,4137
2	25,5475
2	21,8791
2	22,6706
2	24,7531
2	25,7219
2	22,6389
2	26,2308
2	26,7998
2	28,4708
2	26,9941
2	25,1489
2	24,6179
2	27,0194
2	25,0589
2	22,1119
2	20,3069
2	23,6758
2	27,1201
2	29,6136
2	25,9948
2	18,223
2	23,7336
2	22,4208

